service_code,categoria
CodeBuild,DevOps/Tools
AWSStorageGateway,Almacenamiento
AmazonKinesisAnalytics,Analítica
AmazonFSx,Almacenamiento
AmazonAppStream,Desarrollo
AWSCostExplorer,DevOps/Tools
AmazonS3,Almacenamiento
AWSCodeArtifact,DevOps/Tools
AmazonDocDB,Base de datos
AWSQueueService,APIs/Integración
AmazonEC2,Cómputo
awskms,Seguridad
AWSCloudTrail,IA/ML
AWSCertificateManager,Desarrollo
ComputeSavingsPlans,Desarrollo
AWSCodePipeline,DevOps/Tools
translate,IA/ML
AmazonInspectorV2,Seguridad
AmazonDAX,Desarrollo
1elkus23vc76sp16eu1hrkrepc,otros
aky5e8019p6esdi8w4nkwqv9s,otros
AmazonRegistrar,otros
BLOCK_STORAGE,Almacenamiento
Compute Engine,Cómputo
Cloud Pub/Sub,APIs/Integración
Places API,APIs/Integración
App Engine,Cómputo
Cloud Vision API,IA/ML
Cloud Key Management Service (KMS),Seguridad
BigQuery Storage API,Almacenamiento
Cloud Functions,Cómputo
Cloud DNS,Red
Time Zone API,APIs/Integración
Support,DevOps/Tools
Artifact Registry,Desarrollo
Cloud Tasks,APIs/Integración
Cloud Memorystore for Redis,Base de datos
Web Risk,Desarrollo
Delphix Corp Delphix Data Masking for Google Cloud (3TB),Desarrollo
AmazonVPC,Red
AmazonWorkSpaces,Desarrollo
AmazonNeptune,Base de datos
AmazonDynamoDB,Base de datos
AWSLambda,Desarrollo
AmazonLightsail,Cómputo
AmazonDevOpsGuru,Desarrollo
AmazonSimpleDB,Base de datos
AWSTransfer,Desarrollo
AmazonSageMaker,Desarrollo
AmazonECS,Cómputo
AmazonIVS,Desarrollo
AmazonEKS,Cómputo
AWSDatabaseMigrationSvc,Base de datos
AWSNetworkFirewall,Red
AWSBudgets,DevOps/Tools
datapipeline,DevOps/Tools
AmazonStates,APIs/Integración
AmazonCognito,Desarrollo
AmazonMSK,APIs/Integración
AmazonCloudWatch,DevOps/Tools
AmazonRekognition,IA/ML
AmazonGuardDuty,Seguridad
IoTDeviceManagement,IoT
AWSServiceCatalog,Desarrollo
AWSSecretsManager,Seguridad
AmazonTextract,IA/ML
AmazonPersonalize,IA/ML
dztfbzx259beole7sf2qi7vmi,otros
8gg94ykwjf42jjtgdt6oo1zxj,otros
ek4qedjnb2fvu65fjvdvh2mta,otros
AWSOutposts,otros
AWSMigrationHubRefactorSpaces,Desarrollo
COMPUTE,Cómputo
VPN,Red
MYSQL,Base de datos
Cloud Dataflow,Analítica
Stackdriver Monitoring,DevOps/Tools
Cloud SQL,Base de datos
reCAPTCHA Enterprise,Seguridad
Kubernetes Engine,Cómputo
Cloud Build,DevOps/Tools
BigQuery BI Engine,Analítica
Cloud Scheduler,APIs/Integración
Translate,IA/ML
Cloud Natural Language,Desarrollo
VM Manager,Desarrollo
Cloud Spanner,Base de datos
Firebase Hosting,Desarrollo
Invoice,Desarrollo
Cloud Speech API,IA/ML
Veeam Software Veeam Backup for Google Cloud Platform,Almacenamiento
AmazonRDS,Base de datos
ElasticMapReduce,Desarrollo
AmazonRedshift,Analítica
AmazonECR,Desarrollo
AWSSystemsManager,Desarrollo
AWSFMS,Desarrollo
AmazonMemoryDB,Base de datos
AWSAppSync,Desarrollo
AmazonES,Desarrollo
AmazonSES,Desarrollo
AmazonApiGateway,APIs/Integración
AmazonKinesisFirehose,Desarrollo
AWSDirectoryService,Desarrollo
OCBPremiumSupport,DevOps/Tools
AmazonQuickSight,Desarrollo
CloudHSM,Seguridad
AWSConfig,DevOps/Tools
AWSELB,Red
AmazonCloudFront,Red
AWSXRay,Desarrollo
806j2of0qy5osgjjixq9gqc6g,otros
awswaf,Seguridad
adebs933j1m9ftrsoompzhb48,otros
AmazonSNS,APIs/Integración
9fmjj3b9hombuy4jawab1i13i,otros
1qo0s5buqf6m1aoi9bi198bo9i,otros
5jeqvo3rsibk9of7p0rvaofir,otros
byvxqqtdoo1mjolps7vq7qrkq,otros
OCBAWSDirectConnect,otros
AWSCloudShell,otros
AWSElementalMediaStore,otros
AWSComputeOptimizer,Desarrollo

